Jugador,Equipo,Arquetipo Ofensivo,Arquetipo Defensivo,POISE Ofensivo,POISE Defensivo,POISE Total,Valor Scoring,Valor Spacing,Valor Passing,Valor Rim Protection,Valor Rebounding
Grant Guyot,CLE,Roller,Perimetral,10.5,1.9,2.1,1.5,1.4,4.7,6.7,1.5
Willem Botham,MIA,Tirador estatico,Baja actividad,8.1,5.8,20.7,0.3,9.9,7.0,7.0,2.9
Adore Dawks,CLE,General,Perimetral,6.1,2.6,-1.4,1.9,0.2,9.6,1.2,2.2
Othelia McFadin,NYK,Roller,Protector del aro,-3.6,8.2,8.0,6.1,5.7,2.0,5.6,2.3
Glennis Chaddock,PHI,Roller,Bloqueos,11.8,9.9,7.2,1.2,2.9,7.4,4.2,1.0
Aurilia Skilton,CHO,General,Protector del aro,6.5,2.1,15.9,7.1,7.2,8.4,6.1,0.2
Pierrette Oxherd,BOS,Roller,Bloqueos,10.4,6.1,22.0,1.3,6.2,9.7,2.2,3.8
Wadsworth Poleykett,DEN,General,Bloqueos,13.7,5.1,-5.0,2.0,4.3,4.0,1.0,0.4
Krisha Renyard,MIL,Tirador estatico,Protector del aro,3.8,7.0,14.2,8.9,5.9,2.8,9.6,3.6
Peg Thomel,DEN,Tirador,Protector del aro,10.7,11.8,12.9,9.7,5.6,7.4,0.8,0.3
Jean Odam,TOR,Tirador,Reboteador,2.1,-1.8,25.1,4.5,9.0,8.6,0.8,0.5
Brita Iacopini,BOS,Roller,Bloqueos,13.3,0.1,23.2,0.3,9.5,7.8,3.2,1.8
Tam Corzor,MIA,Tirador,Protector del aro,11.3,1.1,16.7,5.8,9.6,2.4,7.8,0.6
Elyn Tilliards,MIN,Roller,Reboteador,-0.3,-0.8,7.2,4.6,5.1,1.5,6.8,1.5
